score_v221,max_score,event_pos,event_neg,trend_pos,end_count,end_signals,stage,stage_name,adx,rsi,wt1,smc_signal,turnover_signal,sector_relative_signal,ad_line_signal,close,date,fwd_5d,fwd_10d,fwd_20d
4,15,1,1,4,0,[],2.5,阶段2.5-得分触底未共振,25.388464926874367,62.427627959960226,54.120820207401536,0,0,0,0,128.88,2026-01-09,-0.014664804469273762,-0.030415890751086305,-0.1255431409062694
1,15,0,1,3,0,[],2.5,阶段2.5-得分触底未共振,23.01062300466667,57.44046367862731,27.246055282688488,0,0,0,0,126.99,2026-01-16,-0.015985510670131542,-0.03165603590833921,-0.07921883612882896
0,15,0,1,2,0,[],2.5,阶段2.5-得分触底未共振,20.879575824169365,52.03504656480376,14.732759928728415,0,0,0,0,124.96,2026-01-23,-0.01592509603072978,-0.09811139564660687,-0.09947183098591539
2,15,0,0,2,1,['trend_break'],2.5,阶段2.5-得分触底未共振,16.317642517642597,48.55468490792889,-7.415372674922344,0,0,0,1,122.97,2026-01-30,-0.08351630478978611,-0.049117670976660865,-0.14499471415792464
2,15,1,0,0,0,[],2.5,阶段2.5-得分触底未共振,20.484236267649514,36.855364355040535,-49.20248769325358,0,0,0,0,112.7,2026-02-06,0.03753327417923691,-0.0015084294587400793,-0.03637976929902398
3,15,1,0,1,0,[],2.5,阶段2.5-得分触底未共振,21.853938729570924,45.38350049791754,-38.60943821410458,0,0,0,0,116.93,2026-02-13,-0.03762935089369712,-0.10082955614470201,-0.16154964508680403
2,15,1,0,0,1,['volatility_drop'],2.5,阶段2.5-得分触底未共振,21.620134886864648,42.373726852278985,-33.91366266200248,0,0,0,-1,115.0,2026-02-27,-0.07391304347826089,-0.06904347826086954,-0.15217391304347827
0,15,1,1,0,1,['volatility_drop'],2.5,阶段2.5-得分触底未共振,28.817078407492808,30.57825386503835,-63.45306797696148,0,0,0,0,106.5,2026-03-06,0.005258215962441248,-0.04056338028169004,-0.1382159624413145
4,15,1,0,2,1,['volatility_drop'],2.5,阶段2.5-得分触底未共振,34.143975520844265,36.35596714636952,-60.06800236541794,0,0,0,1,107.06,2026-03-13,-0.045581916682234214,-0.08929572202503266,-0.05996637399589022
2,15,1,0,0,2,"['volume_divergence', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,33.0782992159177,30.740091041532025,-55.70935258388967,0,0,0,-1,102.18,2026-03-20,-0.04580152671755733,-0.10178117048346058,0.05656684282638458
0,15,1,1,0,2,"['momentum_reversal', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,36.77329039644888,29.53043439198784,-70.55028375357618,0,0,0,0,97.5,2026-03-27,-0.058666666666666645,0.03220512820512811,0.1956923076923076
0,15,1,1,0,2,"['momentum_reversal', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,40.06021333017442,26.875149274626224,-69.945587575918,0,0,0,0,91.78,2026-04-03,0.09653519285247336,0.17629113096535187,0.3656570058836348
2,15,1,1,2,0,[],2.5,阶段2.5-得分触底未共振,32.423678215514975,48.30848368860868,-36.29642147893432,0,0,0,-1,101.01,2026-04-10,0.041778041778041786,0.09850509850509837,0.20641520641520628
4,15,1,0,2,0,[],2.5,阶段2.5-得分触底未共振,26.04456267696303,56.26721140699651,2.077607218767703,0,0,0,-1,105.23,2026-04-17,0.05445215242801482,0.16981849282523975,0.27159555259906876
6,15,1,0,4,0,[],2.5,阶段2.5-得分触底未共振,26.09770784554115,63.8144883285735,26.81222402164865,0,0,0,0,110.96,2026-04-24,0.10940879596250896,0.09823359769286233,0.317772170151406
7,15,1,0,5,0,[],2.0,动能衰减期,33.916279599364714,64.23563579108576,57.61190818706509,0,0,0,-1,120.31,2026-05-08,-0.010722300723131961,0.09159670850303381,0.05893109467209712
6,15,1,0,4,0,[],2.5,阶段2.5-得分触底未共振,33.1368596054643,59.08844712492119,48.722646373158895,0,0,0,0,119.02,2026-05-15,0.10342799529490865,0.17551671987901196,0.049235422618047364
8,15,1,0,6,0,[],2.0,动能衰减期,32.21362711022423,65.58560616919439,51.124356927268956,0,0,0,1,131.33,2026-05-22,0.06533160740120292,-0.029924617376075546,0.10858143607705761
9,15,2,0,5,1,['volume_divergence'],2.0,动能衰减期,40.6795403015913,58.62099864645565,68.04840518465429,0,0,0,0,139.91,2026-05-29,-0.08941462368665565,-0.10742620255878776,0.07926524194124807
5,15,1,0,3,0,[],2.5,阶段2.5-得分触底未共振,35.80369569604409,49.074651314926975,29.1958823829919,0,0,0,0,127.4,2026-06-05,-0.01978021978021982,0.14277864992150713,0.1302197802197802
4,15,1,0,2,0,[],2.5,阶段2.5-得分触底未共振,28.798512289149905,47.65639745144997,0.33089736311544016,0,0,0,0,124.88,2026-06-12,0.16583920563741206,0.20916079436258816,0.30989750160153773
6,15,1,0,4,0,[],2.5,阶段2.5-得分触底未共振,32.859918795319686,60.032180671337954,47.08776044949887,0,0,0,0,148.76,2026-06-26,-0.05680290400645327,0.09585910190911551,-0.03381285291745095
5,15,1,0,3,1,['volume_divergence'],2.5,阶段2.5-得分触底未共振,30.775486292494577,50.41369097108292,38.95645492627134,0,0,0,-1,140.31,2026-07-03,0.16185589052811644,-0.003064642577150667,-0.11631387641650637
9,15,2,0,5,0,[],2.0,动能衰减期,28.782933473064933,60.79591716459754,47.18033941804418,0,0,0,0,163.02,2026-07-10,-0.14194577352472093,-0.11832903938167105,-0.21175315912158021
4,15,1,0,2,0,[],2.5,阶段2.5-得分触底未共振,24.46430229454221,45.183285925929574,26.42651397369657,0,0,0,0,139.88,2026-07-17,0.027523591649985635,-0.11359736917357732,
3,15,1,0,1,0,[],2.5,阶段2.5-得分触底未共振,19.073507139232888,47.38162816472404,4.2911155998988715,0,0,0,0,143.73,2026-07-24,-0.13734084742225006,-0.10596256870521115,
2,15,1,0,0,1,['trend_break'],2.5,阶段2.5-得分触底未共振,18.415338904936547,37.48012444431265,-35.26120350415429,0,0,0,0,123.99,2026-07-31,0.036373901121058205,,
2,15,0,0,2,1,['trend_break'],2.5,阶段2.5-得分触底未共振,19.23109240842878,43.98043534704078,-43.83767956219214,0,0,0,1,128.5,2026-08-07,,,
