observation_date,FGRECPT
1947-01-01,43.401
1947-04-01,42.459
1947-07-01,41.628
1947-10-01,43.769
1948-01-01,44.047
1948-04-01,42.495
1948-07-01,41.615
1948-10-01,41.349
1949-01-01,39.928
1949-04-01,37.917
1949-07-01,37.432
1949-10-01,36.163
1950-01-01,41.366
1950-04-01,45.536
1950-07-01,51.815
1950-10-01,56.496
1951-01-01,64.509
1951-04-01,61.636
1951-07-01,60.883
1951-10-01,64.633
1952-01-01,64.733
1952-04-01,64.809
1952-07-01,65.280
1952-10-01,68.420
1953-01-01,70.117
1953-04-01,70.463
1953-07-01,69.534
1953-10-01,64.313
1954-01-01,61.631
1954-04-01,61.697
1954-07-01,62.331
1954-10-01,64.384
1955-01-01,68.333
1955-04-01,70.302
1955-07-01,71.967
1955-10-01,73.688
1956-01-01,74.193
1956-04-01,75.571
1956-07-01,75.386
1956-10-01,78.220
1957-01-01,80.415
1957-04-01,79.894
1957-07-01,79.858
1957-10-01,77.100
1958-01-01,73.586
1958-04-01,73.486
1958-07-01,76.730
1958-10-01,80.422
1959-01-01,84.552
1959-04-01,88.284
1959-07-01,86.484
1959-10-01,87.091
1960-01-01,95.237
1960-04-01,93.874
1960-07-01,93.326
1960-10-01,91.782
1961-01-01,91.825
1961-04-01,93.757
1961-07-01,95.586
1961-10-01,99.149
1962-01-01,100.566
1962-04-01,102.104
1962-07-01,104.444
1962-10-01,105.634
1963-01-01,108.650
1963-04-01,110.929
1963-07-01,112.083
1963-10-01,113.686
1964-01-01,112.282
1964-04-01,108.600
1964-07-01,111.394
1964-10-01,112.996
1965-01-01,118.980
1965-04-01,120.868
1965-07-01,119.248
1965-10-01,122.611
1966-01-01,131.961
1966-04-01,136.737
1966-07-01,139.097
1966-10-01,141.754
1967-01-01,142.613
1967-04-01,143.666
1967-07-01,147.219
1967-10-01,151.530
1968-01-01,160.283
1968-04-01,165.013
1968-07-01,176.139
1968-10-01,180.877
1969-01-01,190.311
1969-04-01,193.411
1969-07-01,191.114
1969-10-01,192.503
1970-01-01,186.404
1970-04-01,187.428
1970-07-01,183.818
1970-10-01,182.860
1971-01-01,187.534
1971-04-01,190.401
1971-07-01,190.828
1971-10-01,194.062
1972-01-01,213.089
1972-04-01,216.471
1972-07-01,219.399
1972-10-01,227.075
1973-01-01,242.522
1973-04-01,246.522
1973-07-01,249.570
1973-10-01,258.372
1974-01-01,265.946
1974-04-01,276.413
1974-07-01,287.468
1974-10-01,284.178
1975-01-01,277.795
1975-04-01,244.783
1975-07-01,288.242
1975-10-01,296.518
1976-01-01,312.071
1976-04-01,318.959
1976-07-01,326.737
1976-10-01,332.586
1977-01-01,347.306
1977-04-01,361.277
1977-07-01,367.930
1977-10-01,378.968
1978-01-01,386.734
1978-04-01,416.291
1978-07-01,436.032
1978-10-01,456.243
1979-01-01,466.743
1979-04-01,480.375
1979-07-01,494.758
1979-10-01,506.212
1980-01-01,517.694
1980-04-01,515.412
1980-07-01,535.906
1980-10-01,565.766
1981-01-01,605.919
1981-04-01,616.972
1981-07-01,635.312
1981-10-01,626.044
1982-01-01,616.913
1982-04-01,624.274
1982-07-01,615.220
1982-10-01,618.246
1983-01-01,622.851
1983-04-01,649.294
1983-07-01,644.513
1983-10-01,662.403
1984-01-01,692.666
1984-04-01,706.797
1984-07-01,714.664
1984-10-01,730.548
1985-01-01,781.049
1985-04-01,745.285
1985-07-01,784.058
1985-10-01,792.513
1986-01-01,800.950
1986-04-01,805.141
1986-07-01,819.983
1986-10-01,845.559
1987-01-01,847.588
1987-04-01,917.117
1987-07-01,909.120
1987-10-01,924.141
1988-01-01,941.345
1988-04-01,950.149
1988-07-01,967.626
1988-10-01,990.606
1989-01-01,1031.053
1989-04-01,1032.695
1989-07-01,1046.881
1989-10-01,1059.266
1990-01-01,1062.617
1990-04-01,1079.516
1990-07-01,1097.485
1990-10-01,1110.899
1991-01-01,1095.589
1991-04-01,1100.960
1991-07-01,1111.369
1991-10-01,1123.376
1992-01-01,1132.752
1992-04-01,1147.780
1992-07-01,1154.549
1992-10-01,1182.333
1993-01-01,1184.875
1993-04-01,1223.883
1993-07-01,1232.038
1993-10-01,1283.357
1994-01-01,1283.869
1994-04-01,1329.298
1994-07-01,1339.921
1994-10-01,1364.292
1995-01-01,1388.068
1995-04-01,1416.403
1995-07-01,1423.846
1995-10-01,1441.408
1996-01-01,1476.422
1996-04-01,1531.314
1996-07-01,1544.427
1996-10-01,1593.223
1997-01-01,1615.265
1997-04-01,1651.819
1997-07-01,1689.431
1997-10-01,1713.033
1998-01-01,1744.269
1998-04-01,1771.548
1998-07-01,1808.447
1998-10-01,1835.085
1999-01-01,1860.002
1999-04-01,1885.184
1999-07-01,1914.862
1999-10-01,1963.756
2000-01-01,2041.764
2000-04-01,2056.279
2000-07-01,2076.268
2000-10-01,2096.796
2001-01-01,2111.058
2001-04-01,2098.359
2001-07-01,1907.679
2001-10-01,2012.375
2002-01-01,1865.637
2002-04-01,1868.032
2002-07-01,1869.778
2002-10-01,1880.098
2003-01-01,1889.816
2003-04-01,1912.664
2003-07-01,1840.186
2003-10-01,1941.796
2004-01-01,1952.066
2004-04-01,2003.483
2004-07-01,2062.813
2004-10-01,2093.960
2005-01-01,2242.790
2005-04-01,2272.008
2005-07-01,2316.739
2005-10-01,2387.286
2006-01-01,2482.895
2006-04-01,2518.505
2006-07-01,2562.861
2006-10-01,2590.850
2007-01-01,2659.486
2007-04-01,2674.206
2007-07-01,2666.732
2007-10-01,2672.884
2008-01-01,2638.949
2008-04-01,2621.006
2008-07-01,2574.570
2008-10-01,2493.677
2009-01-01,2222.444
2009-04-01,2223.824
2009-07-01,2225.501
2009-10-01,2296.492
2010-01-01,2366.132
2010-04-01,2420.673
2010-07-01,2483.290
2010-10-01,2514.962
2011-01-01,2566.855
2011-04-01,2574.972
2011-07-01,2565.373
2011-10-01,2587.239
2012-01-01,2663.949
2012-04-01,2679.747
2012-07-01,2690.555
2012-10-01,2769.018
2013-01-01,2984.538
2013-04-01,3244.746
2013-07-01,3070.329
2013-10-01,3245.665
2014-01-01,3262.838
2014-04-01,3295.831
2014-07-01,3303.698
2014-10-01,3315.298
2015-01-01,3391.529
2015-04-01,3445.401
2015-07-01,3446.663
2015-10-01,3509.950
