observation_date,CPIAUCSL
1947-01-01,21.480
1947-02-01,21.620
1947-03-01,22.000
1947-04-01,22.000
1947-05-01,21.950
1947-06-01,22.080
1947-07-01,22.230
1947-08-01,22.400
1947-09-01,22.840
1947-10-01,22.910
1947-11-01,23.060
1947-12-01,23.410
1948-01-01,23.680
1948-02-01,23.670
1948-03-01,23.500
1948-04-01,23.820
1948-05-01,24.010
1948-06-01,24.150
1948-07-01,24.400
1948-08-01,24.430
1948-09-01,24.360
1948-10-01,24.310
1948-11-01,24.160
1948-12-01,24.050
1949-01-01,24.010
1949-02-01,23.910
1949-03-01,23.910
1949-04-01,23.920
1949-05-01,23.910
1949-06-01,23.920
1949-07-01,23.700
1949-08-01,23.700
1949-09-01,23.750
1949-10-01,23.670
1949-11-01,23.700
1949-12-01,23.610
1950-01-01,23.510
1950-02-01,23.610
1950-03-01,23.640
1950-04-01,23.650
1950-05-01,23.770
1950-06-01,23.880
1950-07-01,24.070
1950-08-01,24.200
1950-09-01,24.340
1950-10-01,24.500
1950-11-01,24.600
1950-12-01,24.980
1951-01-01,25.380
1951-02-01,25.830
1951-03-01,25.880
1951-04-01,25.920
1951-05-01,25.990
1951-06-01,25.930
1951-07-01,25.910
1951-08-01,25.860
1951-09-01,26.030
1951-10-01,26.160
1951-11-01,26.320
1951-12-01,26.470
1952-01-01,26.450
1952-02-01,26.410
1952-03-01,26.390
1952-04-01,26.460
1952-05-01,26.470
1952-06-01,26.530
1952-07-01,26.680
1952-08-01,26.690
1952-09-01,26.630
1952-10-01,26.690
1952-11-01,26.690
1952-12-01,26.710
1953-01-01,26.640
1953-02-01,26.590
1953-03-01,26.630
1953-04-01,26.690
1953-05-01,26.700
1953-06-01,26.770
1953-07-01,26.790
1953-08-01,26.850
1953-09-01,26.890
1953-10-01,26.950
1953-11-01,26.850
1953-12-01,26.870
1954-01-01,26.940
1954-02-01,26.990
1954-03-01,26.930
1954-04-01,26.860
1954-05-01,26.930
1954-06-01,26.940
1954-07-01,26.860
1954-08-01,26.850
1954-09-01,26.810
1954-10-01,26.720
1954-11-01,26.780
1954-12-01,26.770
1955-01-01,26.770
1955-02-01,26.820
1955-03-01,26.790
1955-04-01,26.790
1955-05-01,26.770
1955-06-01,26.710
1955-07-01,26.760
1955-08-01,26.720
1955-09-01,26.850
1955-10-01,26.820
1955-11-01,26.880
1955-12-01,26.870
1956-01-01,26.830
1956-02-01,26.860
1956-03-01,26.890
1956-04-01,26.930
1956-05-01,27.030
1956-06-01,27.150
1956-07-01,27.290
1956-08-01,27.310
1956-09-01,27.350
1956-10-01,27.510
1956-11-01,27.510
1956-12-01,27.630
1957-01-01,27.670
1957-02-01,27.800
1957-03-01,27.860
1957-04-01,27.930
1957-05-01,28.000
1957-06-01,28.110
1957-07-01,28.190
1957-08-01,28.280
1957-09-01,28.320
1957-10-01,28.320
1957-11-01,28.410
1957-12-01,28.470
1958-01-01,28.640
1958-02-01,28.700
1958-03-01,28.870
1958-04-01,28.940
1958-05-01,28.940
1958-06-01,28.910
1958-07-01,28.890
1958-08-01,28.940
1958-09-01,28.910
1958-10-01,28.910
1958-11-01,28.950
1958-12-01,28.970
1959-01-01,29.010
1959-02-01,29.000
1959-03-01,28.970
1959-04-01,28.980
1959-05-01,29.040
1959-06-01,29.110
1959-07-01,29.150
1959-08-01,29.180
1959-09-01,29.250
1959-10-01,29.350
1959-11-01,29.350
1959-12-01,29.410
1960-01-01,29.370
1960-02-01,29.410
1960-03-01,29.410
1960-04-01,29.540
1960-05-01,29.570
1960-06-01,29.610
1960-07-01,29.550
1960-08-01,29.610
1960-09-01,29.610
1960-10-01,29.750
1960-11-01,29.780
1960-12-01,29.810
1961-01-01,29.840
1961-02-01,29.840
1961-03-01,29.840
1961-04-01,29.810
1961-05-01,29.840
1961-06-01,29.840
1961-07-01,29.920
1961-08-01,29.940
1961-09-01,29.980
1961-10-01,29.980
1961-11-01,29.980
1961-12-01,30.010
1962-01-01,30.040
1962-02-01,30.110
1962-03-01,30.170
1962-04-01,30.210
1962-05-01,30.240
1962-06-01,30.210
1962-07-01,30.220
1962-08-01,30.280
1962-09-01,30.420
1962-10-01,30.380
1962-11-01,30.380
1962-12-01,30.380
1963-01-01,30.440
1963-02-01,30.480
1963-03-01,30.510
1963-04-01,30.480
1963-05-01,30.510
1963-06-01,30.610
1963-07-01,30.690
1963-08-01,30.750
1963-09-01,30.720
1963-10-01,30.750
1963-11-01,30.780
1963-12-01,30.880
1964-01-01,30.940
1964-02-01,30.910
1964-03-01,30.940
1964-04-01,30.950
1964-05-01,30.980
1964-06-01,31.010
1964-07-01,31.020
1964-08-01,31.050
1964-09-01,31.080
1964-10-01,31.120
1964-11-01,31.210
1964-12-01,31.250
1965-01-01,31.280
1965-02-01,31.280
1965-03-01,31.310
1965-04-01,31.380
1965-05-01,31.480
1965-06-01,31.610
1965-07-01,31.580
1965-08-01,31.550
1965-09-01,31.620
1965-10-01,31.650
1965-11-01,31.750
1965-12-01,31.850
1966-01-01,31.880
1966-02-01,32.080
1966-03-01,32.180
1966-04-01,32.280
1966-05-01,32.350
1966-06-01,32.380
1966-07-01,32.450
1966-08-01,32.650
1966-09-01,32.750
1966-10-01,32.850
1966-11-01,32.880
1966-12-01,32.920
1967-01-01,32.900
1967-02-01,33.000
1967-03-01,33.000
1967-04-01,33.100
1967-05-01,33.100
1967-06-01,33.300
1967-07-01,33.400
1967-08-01,33.500
1967-09-01,33.600
1967-10-01,33.700
1967-11-01,33.900
1967-12-01,34.000
1968-01-01,34.100
1968-02-01,34.200
1968-03-01,34.300
1968-04-01,34.400
1968-05-01,34.500
1968-06-01,34.700
1968-07-01,34.900
1968-08-01,35.000
1968-09-01,35.100
1968-10-01,35.300
1968-11-01,35.400
1968-12-01,35.600
1969-01-01,35.700
1969-02-01,35.800
1969-03-01,36.100
1969-04-01,36.300
1969-05-01,36.400
1969-06-01,36.600
1969-07-01,36.800
1969-08-01,36.900
1969-09-01,37.100
1969-10-01,37.300
1969-11-01,37.500
1969-12-01,37.700
1970-01-01,37.900
1970-02-01,38.100
1970-03-01,38.300
1970-04-01,38.500
1970-05-01,38.600
1970-06-01,38.800
1970-07-01,38.900
1970-08-01,39.000
1970-09-01,39.200
1970-10-01,39.400
1970-11-01,39.600
1970-12-01,39.800
1971-01-01,39.900
1971-02-01,39.900
1971-03-01,40.000
1971-04-01,40.100
1971-05-01,40.300
1971-06-01,40.500
1971-07-01,40.600
1971-08-01,40.700
1971-09-01,40.800
1971-10-01,40.900
1971-11-01,41.000
1971-12-01,41.100
1972-01-01,41.200
1972-02-01,41.400
1972-03-01,41.400
1972-04-01,41.500
1972-05-01,41.600
1972-06-01,41.700
1972-07-01,41.800
1972-08-01,41.900
1972-09-01,42.100
1972-10-01,42.200
1972-11-01,42.400
1972-12-01,42.500
1973-01-01,42.700
1973-02-01,43.000
1973-03-01,43.400
1973-04-01,43.700
1973-05-01,43.900
1973-06-01,44.200
1973-07-01,44.200
1973-08-01,45.000
1973-09-01,45.200
1973-10-01,45.600
1973-11-01,45.900
1973-12-01,46.300
1974-01-01,46.800
1974-02-01,47.300
1974-03-01,47.800
1974-04-01,48.100
1974-05-01,48.600
1974-06-01,49.000
1974-07-01,49.300
1974-08-01,49.900
1974-09-01,50.600
1974-10-01,51.000
1974-11-01,51.500
1974-12-01,51.900
